id,name,tradition,type,rank,source,page
occult-angelic-aid,Angelic Aid,Theurgy,Utility,3,occult,120
occult-bear-form,Bear Form,Transformation,Utility,3,occult,127
occult-bedeviling-colors,Bedeviling Colors,Madness,Attack,3,occult,72
occult-bedeviling-winds,Bedeviling Winds,Air,Attack,3,occult,13
occult-blinding-burst,Blinding Burst,Celestial,Attack,3,occult,26
occult-block-magic,Block Magic,Arcana,Attack,3,occult,22
occult-call-phantom,Call Phantom,Spiritualism,Utility,3,occult,104
occult-catch-projectiles,Catch Projectiles,Telekinesis,Attack,3,occult,114
occult-chaos-orb,Chaos Orb,Chaos,Attack,3,occult,29
occult-climb-the-mountain,Climb The Mountain,Battle,Attack,3,occult,24
occult-cloak-of-air,Cloak Of Air,Air,Utility,3,occult,13
occult-cloak-of-cinders,Cloak Of Cinders,Fire,Attack,3,occult,56
occult-command-truth,Command Truth,Order,Attack,3,occult,84
occult-conventicle-of-brownies,Conventicle Of Brownies,Fey,Utility,3,occult,52
occult-crack-the-earth,Crack The Earth,Destruction,Attack,3,occult,45
occult-curse-of-maddening-love,Curse Of Maddening Love,Curse,Attack,3,occult,36
occult-dark-helmet,Dark Helmet,Technomancy,Utility,3,occult,110
occult-deluge,Deluge,Storm,Utility,3,occult,107
occult-demon-seed,Demon Seed,Demonology,Attack,3,occult,42
occult-dolor,Dolor,Enchantment,Attack,3,occult,50
occult-elasticity,Elasticity,Alteration,Utility,3,occult,20
occult-eradicate-the-unclean,Eradicate The Unclean,Life,Attack,3,occult,69
occult-eye-of-the-outer-god,Eye Of The Outer God,Madness,Utility,3,occult,72
occult-fleeting-life,Fleeting Life,Life,Utility,3,occult,69
occult-flood,Flood,Water,Attack,3,occult,129
occult-flying-disc,Flying Disc,Arcana,Utility,3,occult,22
occult-force-missile,Force Missile,Telekinesis,Attack,3,occult,114
occult-forceful-rebuke,Forceful Rebuke,Protection,Attack,3,occult,89
occult-fugue,Fugue,Telepathy,Attack,3,occult,116
occult-granite-soldiers,Granite Soldiers,Earth,Utility,3,occult,48
occult-great-cat-form,Great Cat Form,Transformation,Utility,3,occult,127
occult-halt-time,Halt Time,Time,Utility,3,occult,124
occult-horrifying-spirits,Horrifying Spirits,Spiritualism,Attack,3,occult,105
occult-infectious-groove,Infectious Groove,Song,Attack,3,occult,98
occult-introspective-trance,Introspective Trance,Soul,Utility,3,occult,102
occult-iron-cage,Iron Cage,Conjuration,Attack,3,occult,33
occult-iron-cloud,Iron Cloud,Metal,Attack,3,occult,74
occult-iron-grasp,Iron Grasp,Battle,Attack,3,occult,24
occult-keening,Keening,Necromancy,Utility,3,occult,81
occult-laughing-scoundrel,Laughing Scoundrel,Invocation,Utility,3,occult,65
occult-magic-trap,Magic Trap,Protection,Utility,3,occult,89
occult-major-paradox,Major Paradox,Time,Attack,3,occult,125
occult-manikins,Manikins,Alchemy,Utility,3,occult,17
occult-mind-shatter,Mind Shatter,Madness,Attack,3,occult,72
occult-path-of-ruin,Path Of Ruin,Destruction,Attack,3,occult,45
occult-phase-out,Phase Out,Teleportation,Attack,3,occult,118
occult-plant-ally,Plant Ally,Nature,Utility,3,occult,78
occult-rabid-beast,Rabid Beast,Primal,Utility,3,occult,86
occult-rage,Rage,Curse,Attack,3,occult,36
