id,name,tradition,type,rank,source,page
occult-blink,Blink,Teleportation,Utility,0,occult,118
occult-block-strikes,Block Strikes,Telekinesis,Utility,0,occult,114
occult-burst,Burst,Destruction,Attack,0,occult,44
occult-carve-the-flesh,Carve The Flesh,Forbidden,Attack,0,occult,58
occult-chameleon,Chameleon,Transformation,Utility,0,occult,127
occult-chaos-shield,Chaos Shield,Chaos,Utility,0,occult,29
occult-chaotic-eruption,Chaotic Eruption,Chaos,Attack,0,occult,29
occult-choking-smoke,Choking Smoke,Fire,Utility,0,occult,55
occult-choose-outcome,Choose Outcome,Order,Utility,0,occult,83
occult-conceal-object,Conceal Object,Illusion,Utility,0,occult,61
occult-conjure-tiny-monster,Conjure Tiny Monster,Conjuration,Utility,0,occult,32
occult-consequence,Consequence,Time,Utility,0,occult,124
occult-convincing-word,Convincing Word,Enchantment,Attack,0,occult,50
occult-danger-sense,Danger Sense,Protection,Utility,0,occult,89
occult-darkling-s-raiment,Darkling’s Raiment,Shadow,Utility,0,occult,95
occult-death-ward,Death Ward,Life,Utility,0,occult,69
occult-destroy-death,Destroy Death,Life,Attack,0,occult,69
occult-distraction,Distraction,Enchantment,Attack,0,occult,50
occult-drag,Drag,Telekinesis,Attack,0,occult,114
occult-drench,Drench,Storm,Utility,0,occult,107
occult-earth-walker,Earth Walker,Earth,Utility,0,occult,48
occult-electric-eel-skin,Electric Eel Skin,Storm,Utility,0,occult,107
occult-empty-mind,Empty Mind,Telepathy,Utility,0,occult,116
occult-energy-burst,Energy Burst,Conjuration,Attack,0,occult,32
occult-eyes-of-my-enemy,Eyes Of My Enemy,Telepathy,Attack,0,occult,116
occult-face-of-death,Face Of Death,Death,Attack,0,occult,38
occult-face-rip,Face Rip,Forbidden,Utility,0,occult,58
occult-failure,Failure,Curse,Attack,0,occult,35
occult-falling-leaves,Falling Leaves,Nature,Utility,0,occult,77
occult-fault-in-steel,Fault In Steel,Metal,Attack,0,occult,74
occult-feat-of-will,Feat Of Will,Soul,Utility,0,occult,101
occult-filthy-limerick,Filthy Limerick,Song,Attack,0,occult,98
occult-focused-strike,Focused Strike,Soul,Utility,0,occult,101
occult-frightful-spirit,Frightful Spirit,Spiritualism,Utility,0,occult,104
occult-gatecrasher,Gatecrasher,Technomancy,Utility,0,occult,110
occult-grasping-growth,Grasping Growth,Nature,Attack,0,occult,77
occult-helping-hand,Helping Hand,Arcana,Utility,0,occult,22
occult-icicle,Icicle,Water,Attack,0,occult,129
occult-illumination,Illumination,Celestial,Utility,0,occult,26
occult-legerdemain,Legerdemain,Arcana,Utility,0,occult,22
occult-lick-your-wounds,Lick Your Wounds,Primal,Utility,0,occult,86
occult-manipulate-flame,Manipulate Flame,Fire,Utility,0,occult,55
occult-necromancer,Necromancer,Necromancy,Attack,0,occult,80
occult-obscuring-cloud,Obscuring Cloud,Illusion,Utility,0,occult,61
occult-ordered-strike,Ordered Strike,Order,Utility,0,occult,83
occult-otherworldly-scream,Otherworldly Scream,Demonology,Attack,0,occult,41
occult-precognitive-attack,Precognitive Attack,Divination,Utility,0,occult,46
occult-precognitive-defense,Precognitive Defense,Divination,Utility,0,occult,46
occult-preservation,Preservation,Alchemy,Utility,0,occult,16
occult-pressing-strike,Pressing Strike,Battle,Attack,0,occult,24
occult-prick,Prick,Fey,Attack,0,occult,52
occult-primal-might,Primal Might,Primal,Utility,0,occult,86
occult-radiant-shield,Radiant Shield,Celestial,Utility,0,occult,26
occult-retry,Retry,Time,Utility,0,occult,124
occult-reveal-unspeakable-truth,Reveal Unspeakable Truth,Madness,Attack,0,occult,71
occult-righteous-smite,Righteous Smite,Theurgy,Attack,0,occult,120
occult-rime,Rime,Water,Utility,0,occult,129
occult-rune-of-invisibility,Rune Of Invisibility,Rune,Utility,0,occult,92
occult-rune-of-prohibition,Rune Of Prohibition,Rune,Utility,0,occult,92
occult-savage-strike,Savage Strike,Battle,Attack,0,occult,24
occult-serenity,Serenity,Madness,Utility,0,occult,71
occult-shimmering-wall,Shimmering Wall,Air,Utility,0,occult,13
occult-short-hop,Short Hop,Teleportation,Utility,0,occult,118
occult-shroud,Shroud,Death,Utility,0,occult,38
occult-spirit-world,Spirit World,Spiritualism,Utility,0,occult,104
occult-splinter,Splinter,Destruction,Attack,0,occult,44
occult-steal-face,Steal Face,Necromancy,Utility,0,occult,80
occult-steal-shadow,Steal Shadow,Shadow,Attack,0,occult,95
occult-steel-skin,Steel Skin,Metal,Utility,0,occult,74
occult-stone-gauntlet,Stone Gauntlet,Earth,Utility,0,occult,48
occult-the-watcher,The Watcher,Invocation,Utility,0,occult,64
occult-trip,Trip,Fey,Attack,0,occult,52
occult-triumph-of-faith,Triumph Of Faith,Theurgy,Utility,0,occult,120
occult-twisted-words,Twisted Words,Curse,Attack,0,occult,35
occult-unfailing-tracker,Unfailing Tracker,Technomancy,Attack,0,occult,110
occult-unlock-potential,Unlock Potential,Alteration,Utility,0,occult,20
occult-untouchable-object,Untouchable Object,Protection,Utility,0,occult,89
occult-uplifting-melody,Uplifting Melody,Song,Utility,0,occult,98
occult-uplifting-step,Uplifting Step,Air,Utility,0,occult,13
occult-venomous-dart,Venomous Dart,Alchemy,Utility,0,occult,16
occult-warp-flesh,Warp Flesh,Alteration,Attack,0,occult,20
occult-weapon-appendage,Weapon Appendage,Transformation,Attack,0,occult,127
occult-written-in-blood,Written In Blood,Demonology,Utility,0,occult,41
occult-aid-from-the-outer-gods,Aid From The Outer Gods,Madness,Utility,1,occult,71
